case_id,category,brand,model,question,expected_behavior,expected_answer,acceptable_evidence_chunk_ids,retrieved_top3_chunk_ids,retrieval_rank,retrieval_hit_at_3,system_status,system_reason,system_answer,cited_chunk_ids,cited_pages,behavior_pass,model_used,input_tokens,output_tokens,total_tokens,latency_seconds,estimated_cost_usd,faithfulness_review,faithfulness_label,faithfulness_notes,error
E011,answerable,Gaggenau,WM260162CN,Which detergent should I use for coloured easy-care or synthetic fabrics?,answer_with_citation,"Use a detergent for colours or delicates without optical brighteners, with the Easy-Care program from cold up to 60°C.",gaggenau_wm260162cn_p028_c01,gaggenau_wm260162cn_p028_c01|gaggenau_wm260162cn_p030_c01|gaggenau_wm260162cn_p046_c01,1,TRUE,answer,,Use a colour/delicates detergent without optical brighteners for coloured easy-care or synthetic fabrics. [E1],gaggenau_wm260162cn_p028_c01,28,TRUE,openai/gpt-6-luna,1021,85,1106,2.285,0.0001446,TRUE,PASS,Page 28 supports colour/delicates detergent without optical brighteners.,
E012,answerable,Gaggenau,WM260162CN,What is the Super 15 program intended for?,answer_with_citation,"It is an approximately 15-minute extra-short program for small items of lightly soiled laundry, with a maximum load of 2 kg.",gaggenau_wm260162cn_p031_c01,gaggenau_wm260162cn_p030_c02|gaggenau_wm260162cn_p003_c01|gaggenau_wm260162cn_p031_c01,3,TRUE,answer,,The Super 15 program is an extra-short cycle of about 15 minutes intended for small loads of lightly soiled laundry. [E1],gaggenau_wm260162cn_p030_c02,30,TRUE,openai/gpt-6-luna,1167,33,1200,0.962,0.0001623,FALSE,,,
E013,answerable,Gaggenau,WM260162CN,How can I open the door during a power cut?,answer_with_citation,"Switch off and unplug the appliance, drain the water, ensure the drum has stopped and no water is visible through the glass, then pull the emergency release downward with a tool.",gaggenau_wm260162cn_p056_c01,gaggenau_wm260162cn_p056_c01|gaggenau_wm260162cn_p048_c01|gaggenau_wm260162cn_p044_c01,1,TRUE,answer,,"If laundry must be removed during a power cut, switch off the appliance and unplug it, then drain the water. [E1] Once the drum has stopped, use a tool to pull the emergency release down and release it; the door can then be opened. [E1] If possible, let hot water and laundry cool first, and do not open the door if water is visible through the glass. [E1]",gaggenau_wm260162cn_p056_c01,56,TRUE,openai/gpt-6-luna,927,163,1090,2.328,0.0001742,FALSE,,,
E014,answerable,Gaggenau,WM260162CN,What should I check if the water is not draining?,answer_with_citation,"Check whether Rinse Hold is selected, clean the drain pump, and clean the drain pipe and drain hose.",gaggenau_wm260162cn_p059_c01,gaggenau_wm260162cn_p004_c02|gaggenau_wm260162cn_p056_c01|gaggenau_wm260162cn_p059_c01,3,TRUE,answer,Retrieved passage 2 contains the required key terms.,"Check whether **Rinse Hold** is selected, then clean the drain pump and the drain pipe and/or drain hose. [E3]",gaggenau_wm260162cn_p059_c01,59,TRUE,openai/gpt-6-luna,1057,32,1089,2.32,0.00014805,FALSE,,,
E015,answerable,Gaggenau,WM260164,What does error code E:30 / -80 mean?,answer_with_citation,"The drain pipe or water drain hose is blocked, kinked, or trapped; clean the pipe and hose and make sure neither is kinked or pinched.",gaggenau_wm260164_p062_c01,gaggenau_wm260164_p062_c01|gaggenau_wm260164_p043_c01|gaggenau_wm260164_p001_c01,1,TRUE,answer,,"E:30 / -80 means the drain pipe or water drain hose is clogged, kinked, or trapped. [E1]",gaggenau_wm260164_p062_c01,62,TRUE,openai/gpt-6-luna,847,75,922,1.974,0.0001222,TRUE,PASS,"Page 62 supports blocked, kinked, or trapped drain pipe or hose.",
E016,answerable,Gaggenau,WM260164,How do I activate or deactivate the child lock?,answer_with_citation,"Press both buttons marked 3 sec. for about 3 seconds. To deactivate it during a program, keep the program selector on the original program.",gaggenau_wm260164_p047_c01,gaggenau_wm260164_p028_c02|gaggenau_wm260164_p028_c01|gaggenau_wm260164_p047_c01,3,TRUE,answer,,"To activate the child lock, press and hold both **“3 sec.”** buttons for about 3 seconds; the display shows the lock symbol and the controls are locked. [E3]

To deactivate it, switch the machine on and press and hold both **“3 sec.”** buttons for about 3 seconds; keep the program selector on the original program so the running program is not cancelled. [E3]",gaggenau_wm260164_p047_c01,47,TRUE,openai/gpt-6-luna,934,141,1075,2.263,0.0001639,TRUE,PASS,Page 47 supports both three-second actions and selector-position caution.,
E017,answerable,Gaggenau,WM260164,How do I reset the washer's network settings?,answer_with_citation,"Hold the network control for at least 3 seconds, select Network setting, then select Reset. Reconnect the appliance afterward if you want to use Home Connect again.",gaggenau_wm260164_p053_c01,gaggenau_wm260164_p053_c01|gaggenau_wm260164_p003_c01|gaggenau_wm260164_p040_c02,1,TRUE,answer,,"Press and hold for at least 3 seconds, then select **Network settings** and choose **Reset**. [E1]

To use the washer with the Home Connect app again, reconnect it to your home network and the app. [E1]",gaggenau_wm260164_p053_c01,53,TRUE,openai/gpt-6-luna,817,266,1083,3.994,0.0002147,TRUE,PASS,Page 53 supports reset steps and the need to reconnect afterward.,
E018,answerable,Gaggenau,WM260164,How do I connect the washer to the Home Connect app?,answer_with_citation,"First connect the washer to the Wi-Fi home network, open and sign in to the Home Connect app, select Connect app and confirm, then complete the remaining steps shown in the app.",gaggenau_wm260164_p051_c01,gaggenau_wm260164_p051_c01|gaggenau_wm260164_p049_c02|gaggenau_wm260164_p053_c02,1,TRUE,answer,,"1. Connect the washer to your home Wi‑Fi network, then open the Home Connect app and sign in. [E1]
2. On the washer, select **Connect app** and then **Connect with app**. [E1]
3. Confirm the message on the washer’s display; the washer will connect to the app. [E1]
4. When the washer appears in the app, follow the remaining steps there; the display will show that the washer is connected. [E1]",gaggenau_wm260164_p051_c01,51,TRUE,openai/gpt-6-luna,1051,224,1275,3.136,0.0002433,TRUE,PASS,Page 51 supports Wi-Fi prerequisites and the app connection sequence.,
E019,answerable,Gaggenau,WM260164,How do I clean the drain pump?,answer_with_citation,"After emptying it, carefully remove the pump cover, clean the interior, cover threads and housing, make sure the impeller turns, then correctly reassemble and tighten the cover.",gaggenau_wm260164_p059_c01,gaggenau_wm260164_p062_c02|gaggenau_wm260164_p059_c01|gaggenau_wm260164_p057_c01,2,TRUE,answer,,"Before cleaning, make sure the drain pump is empty; the manual refers to a separate procedure for emptying it. [E2][E3]

1. Carefully unscrew the pump cover, since residual water may remain; if dirt has stuck the filter insert in the pump housing, loosen the dirt and remove the insert. [E2]
2. Clean the inside of",gaggenau_wm260164_p059_c01|gaggenau_wm260164_p057_c01,59|57,TRUE,openai/gpt-6-luna,917,300,1217,3.978,0.0002417,FALSE,,,
E020,answerable,Gaggenau,WM260164,How can I unlock the door manually during a power failure?,answer_with_citation,First empty the drain pump and do not open the door if water is visible through the glass; pull the emergency release downward with a tool and release it.,gaggenau_wm260164_p072_c01,gaggenau_wm260164_p072_c01|gaggenau_wm260164_p065_c01|gaggenau_wm260164_p052_c02,1,TRUE,answer,,"First ensure the drain pump is empty, and do not open the door if water is visible through the glass. [E1] Use a tool to pull the emergency release downward, then let it go; the door will unlock. [E1] Afterward, refit and latch the maintenance flap, then close it. [E1]",gaggenau_wm260164_p072_c01,72,TRUE,openai/gpt-6-luna,1153,195,1348,2.822,0.00024155,FALSE,,,
E021,answerable,Gaggenau,WM260164,What should I do if there is excessive foam?,answer_with_citation,"Mix one tablespoon of fabric softener with 0.5 litres of water and add it to the manual-dosing compartment, except for outdoor, sportswear and down items; reduce the detergent dose for future washes.",gaggenau_wm260164_p067_c01,gaggenau_wm260164_p067_c01|gaggenau_wm260164_p046_c01|gaggenau_wm260164_p048_c01,1,TRUE,answer,,"Excessive foam indicates too much detergent. As an immediate measure, mix 1 tablespoon of fabric softener with 0.5 litres of water and pour it into the manual-dosing compartment; do not do this with Outdoor, Sportswear or down items. [E1]

If intelligent dosing is active, reduce the base dosage. If you dose detergent manually, use less detergent the next time you wash the same load. [E1]",gaggenau_wm260164_p067_c01,67,TRUE,openai/gpt-6-luna,1191,191,1382,3.176,0.0002443,FALSE,,,
E022,answerable,Gaggenau,WM262700-26,How do I reset all network settings?,answer_with_citation,"Enter the Home Connect menu, set the program to position 5, press Start/Pause when reset network settings appears, then press Start/Pause again to confirm.",gaggenau_wm262700-26_p035_c01,gaggenau_wm262700-26_p035_c01|gaggenau_wm262700-26_p033_c01|gaggenau_wm262700-26_p042_c02,1,TRUE,answer,,"1. Switch on the appliance, then press and hold Remote Start for at least 3 seconds to open the Home Connect menu. [E2]
2. Set the program selector to position 5; the reset-network-settings symbol appears in the display. [E1]
3. Press Start/Pause. When the confirmation symbol appears, press Start/Pause again to reset the network settings. [E1]
4. To use the appliance with the Home Connect app again, reconnect it to your home network and the app. [E1]",gaggenau_wm262700-26_p035_c01|gaggenau_wm262700-26_p033_c01,35|33,TRUE,openai/gpt-6-luna,962,185,1147,2.719,0.0001887,TRUE,PASS,Pages 33 and 35 support entering Home Connect and confirming the reset twice.,
E023,answerable,Gaggenau,WM262700-26,What actions deactivate Remote Start?,answer_with_citation,"Remote Start is deactivated if the door opens, power fails, Remote Start is pressed again, the appliance is switched off, the program ends, or a control-panel button or program selector is used.",gaggenau_wm262700-26_p043_c01,gaggenau_wm262700-26_p043_c01|gaggenau_wm262700-26_p042_c02|gaggenau_wm262700-26_p033_c01,1,TRUE,answer,,"Remote Start is deactivated if the door is opened, power is lost, the Remote Start button is briefly pressed again, the center of the Program Selector is pressed to switch off the appliance, the program ends, or any button is pressed or the Program Selector is turned on the control panel. [E1]",gaggenau_wm262700-26_p043_c01,43,TRUE,openai/gpt-6-luna,963,66,1029,1.31,0.0001293,TRUE,PASS,Page 43 lists every stated Remote Start deactivation condition.,
E024,answerable,Gaggenau,WM262700-26,How do I deactivate the child lock if the door will not open?,answer_with_citation,Press the two Finish in controls marked M and N for approximately 3 seconds to deactivate the child lock.,gaggenau_wm262700-26_p050_c01,gaggenau_wm262700-26_p044_c01|gaggenau_wm262700-26_p050_c01|gaggenau_wm262700-26_p044_c02,2,TRUE,answer,,Press and hold the **Finish in** button and the **M** and **N** buttons together for approximately 3 seconds to deactivate the child lock. [E2] The child lock stays active even after the cycle ends or the washer is switched off and on again. [E1],gaggenau_wm262700-26_p044_c01|gaggenau_wm262700-26_p050_c01,44|50,TRUE,openai/gpt-6-luna,855,63,918,1.444,0.000117,TRUE,FAIL,The answer can be read as three controls: Finish in plus M and N. The manual specifies the two Finish in controls labelled M and N.,
E025,answerable,Gaggenau,WM262700-26,How do I clean the pump after draining the remaining water?,answer_with_citation,"Turn the pump cover counterclockwise, remove debris, confirm the impeller turns freely, clean the cover threads and housing, then screw the cover back tightly with the handle vertical.",gaggenau_wm262700-26_p048_c01,gaggenau_wm262700-26_p048_c01|gaggenau_wm262700-26_p047_c01|gaggenau_wm262700-26_p042_c02,1,TRUE,answer,,"After the water has finished draining:

1. Turn the pump cover counterclockwise and remove it; a small amount of residual water may come out. [E1]
2. Clean inside the pump housing, removing debris or foreign objects, and check that the impeller at the back turns freely. [E1]
3. Remove lint, debris, or detergent residue from the pump-cover threads and housing. [E1]
4. Screw the pump cover back on tightly with its handle vertical. [E1]
5. Reinstall the protective film with both screws, snap the service cover back onto its hinges and close it, then wipe up any spilled water. [E1]",gaggenau_wm262700-26_p048_c01,48,TRUE,openai/gpt-6-luna,944,221,1165,2.656,0.0002049,TRUE,PASS,"Page 48 supports all pump-cover, impeller, cleaning, and reassembly steps.",
E026,answerable,Gaggenau,WM262700-26,What should I do about light detergent spots on dry laundry?,answer_with_citation,Brush the spots off when the laundry is dry or run the RINSE program; some phosphate-free detergents contain water-insoluble ingredients.,gaggenau_wm262700-26_p052_c01,gaggenau_wm262700-26_p052_c01|gaggenau_wm262700-26_p029_c01|gaggenau_wm262700-26_p012_c01,1,TRUE,answer,,"Brush off the spots when the laundry is dry, or run the RINSE program. [E1]",gaggenau_wm262700-26_p052_c01,52,TRUE,openai/gpt-6-luna,919,26,945,0.815,0.0001049,FALSE,,,
E027,answerable,Gaggenau,WM262700-26,What happens when the washer detects too much foam?,answer_with_citation,"The foam symbol lights up and the washer automatically adds rinse cycles, extending the program. Use less detergent in later loads.",gaggenau_wm262700-26_p031_c01,gaggenau_wm262700-26_p031_c01|gaggenau_wm262700-26_p051_c03|gaggenau_wm262700-26_p051_c02,1,TRUE,answer,,"When the washer detects too much foam, the Å symbol lights up and it automatically runs additional rinse cycles to remove the foam, extending the program duration. [E1]",gaggenau_wm262700-26_p031_c01,31,TRUE,openai/gpt-6-luna,992,38,1030,1.24,0.0001182,FALSE,,,
E028,answerable,Gaggenau,WM262700-26,Which water-supply hoses should I use for installation?,answer_with_citation,Remove the two AquaShield hoses shipped in the drum and use those new hot- and cold-water hoses for installation.,gaggenau_wm262700-26_p017_c01|gaggenau_wm262700-26_p020_c01,gaggenau_wm262700-26_p020_c01|gaggenau_wm262700-26_p015_c01|gaggenau_wm262700-26_p030_c02,1,TRUE,answer,,"Use only the new water-supply hoses supplied with the washer, not previously used hoses. The red hose is for hot water and the blue hose is for cold water; ensure the rubber washers are in place at both ends. [E1]",gaggenau_wm262700-26_p020_c01,20,TRUE,openai/gpt-6-luna,949,53,1002,1.077,0.0001214,FALSE,,,
E029,answerable,Zanussi,ZWG1120M,What does error code E30 mean?,answer_with_citation,E30 means the door is not closed. Check that the door is fully closed and that no laundry is trapped in it.,zanussi_zwg1120m_p016_supplement_01,zanussi_zwg1120m_p016_supplement_01|zanussi_zwg1120m_p001_c01|zanussi_zwg1120m_p002_c01,1,TRUE,answer,,Error code E30 means the washing-machine door is not closed. Check that it is fully closed and that no laundry is caught in it. [E1],zanussi_zwg1120m_p016_supplement_01,16,TRUE,openai/gpt-6-luna,533,36,569,0.946,7.13e-05,TRUE,PASS,The page-16 supplement states that E30 means the door is not closed.,
E030,answerable,Zanussi,ZWG1120M,How do I activate and deactivate the additional child lock?,answer_with_citation,Hold button 5 for 3 seconds to activate it. Press the child-lock button again before choosing the next wash to deactivate it; power cycling does not disable it.,zanussi_zwg1120m_p006_c01,zanussi_zwg1120m_p006_c01|zanussi_zwg1120m_p010_c02|zanussi_zwg1120m_p005_c02,1,TRUE,answer,,"To activate the additional child lock, press and hold button 5 for three seconds; the display shows a child-lock message and symbol. [E1]

To deactivate it, press the child-lock button again. [E1] Switching the machine off and on does not deactivate the lock. [E1]",zanussi_zwg1120m_p006_c01,6,TRUE,openai/gpt-6-luna,860,202,1062,2.355,0.000187,TRUE,PASS,"Page 6 supports button 5, the three-second hold, deactivation, and persistence after power cycling.",
E031,answerable,Zanussi,ZWG1120M,When should I inspect and clean the drain pump filter?,answer_with_citation,"Inspect it regularly and when the washer does not drain or spin, or makes unusual draining noises. Unplug the washer and let hot water cool before opening the pump.",zanussi_zwg1120m_p013_c01,zanussi_zwg1120m_p014_c01|zanussi_zwg1120m_p013_c01|zanussi_zwg1120m_p013_c02,2,TRUE,answer,,"Inspect and clean the drain-pump filter regularly; how often depends on how dirty the laundry is and how frequently you wash. Check it if the machine fails to drain or spin, or makes unusual noises while draining. [E2]",zanussi_zwg1120m_p013_c01,13,TRUE,openai/gpt-6-luna,1085,51,1136,1.736,0.00016105,TRUE,PASS,"Page 13 supports regular checks and the listed drain, spin, and noise symptoms.",
E032,answerable,Zanussi,ZWG1120M,How do I clean the water inlet filter?,answer_with_citation,"Close the tap, detach the hose, brush the hose filter, then clean the valve filter with a stiff brush or cloth; reconnect securely and reopen the tap.",zanussi_zwg1120m_p014_c01,zanussi_zwg1120m_p014_c01|zanussi_zwg1120m_p016_c02|zanussi_zwg1120m_p013_c01,1,TRUE,answer,The evidence contains the requested manual concept.,"1. Turn off the water tap and unscrew the inlet hose from it. Clean the filter in the hose with a stiff brush. [E1]
2. Unscrew the hose from the washing machine, keeping a cloth ready in case water spills out. Clean the filter in the inlet valve with a stiff brush or a piece of cloth. [E1]
3. Reattach the hose securely to the machine and the tap, then turn on the water tap. [E1]",zanussi_zwg1120m_p014_c01,14,TRUE,openai/gpt-6-luna,1042,102,1144,1.487,0.00018117,TRUE,PASS,Page 14 supports cleaning both hose and valve filters and reconnecting the hose.,
E033,answerable,Zanussi,ZWG1120M,What should I do if the washer is exposed to temperatures below 0°C?,answer_with_citation,"Unplug it, close the tap, remove the inlet hose, drain the inlet and outlet hoses into a container, run a drain program if possible, clean the pump if needed, and restart only above 0°C.",zanussi_zwg1120m_p014_c02,zanussi_zwg1120m_p014_c02|zanussi_zwg1120m_p009_c05|zanussi_zwg1120m_p014_c01,1,TRUE,answer,The evidence contains the requested manual concept.,"If the washer is exposed to temperatures below 0°C:

1. Unplug it and close the water tap. [E1]
2. Unscrew the water-inlet hose. [E1]
3. Place a container on the floor and hold the ends of both the inlet and drain hoses over it so the water can drain into the container. [E1]
4. Run a drain programme, and clean the pump if necessary. [E1]
5. Reattach the water-inlet hose. [E1]
6. Before restarting the washer, make sure the room temperature is above 0°C. [E1]",zanussi_zwg1120m_p014_c02,14,TRUE,openai/gpt-6-luna,842,255,1097,2.848,0.0002117,FALSE,,,
E034,answerable,Zanussi,ZWG1120M,Which detergent drawer compartment is used for the main wash?,answer_with_citation,"Use the main-wash compartment for powder or liquid detergent; if using liquid detergent, add it immediately before starting the program.",zanussi_zwg1120m_p004_c01,zanussi_zwg1120m_p004_c01|zanussi_zwg1120m_p011_c01|zanussi_zwg1120m_p009_c04,1,TRUE,answer,,Use the compartment for powder or liquid detergent for the main wash. [E1],zanussi_zwg1120m_p004_c01,4,TRUE,openai/gpt-6-luna,1123,21,1144,0.902,0.0001508,FALSE,,,
E035,answerable,Zanussi,ZWG1120M,How should I sort laundry before washing?,answer_with_citation,"Follow garment care labels and separate whites, colours, synthetics, delicates and wool. Wash new coloured items separately the first time and fasten zips, hooks and ties.",zanussi_zwg1120m_p009_c01,zanussi_zwg1120m_p009_c01|zanussi_zwg1120m_p015_c01|zanussi_zwg1120m_p005_c01,1,TRUE,answer,,"Check the care labels and manufacturer’s washing instructions, then sort laundry into whites, coloureds, synthetics, delicates and wool [E1]. Wash whites separately from coloured items, and wash newly coloured items separately the first time [E1].",zanussi_zwg1120m_p009_c01,9,TRUE,openai/gpt-6-luna,1081,115,1196,2.328,0.00019255,FALSE,,,
E036,manual_unanswerable,SMEG,WM24UWH,How do I connect this washer to the Home Connect app?,refuse_no_manual_evidence,,,smeg_wm24uwh_p011_c02|smeg_wm24uwh_p022_c01|smeg_wm24uwh_p012_c02,,FALSE,refusal,,I could not find sufficient evidence in the official manual for SMEG WM24UWH.,,,TRUE,,,,,,,FALSE,,,
E037,manual_unanswerable,Gaggenau,WM260162CN,How do I reset the Home Connect network settings?,refuse_no_manual_evidence,,,gaggenau_wm260162cn_p017_c02|gaggenau_wm260162cn_p017_c01|gaggenau_wm260162cn_p041_c02,,FALSE,refusal,,I could not find sufficient evidence in the official manual for Gaggenau WM260162CN.,,,TRUE,,,,,,,FALSE,,,
E038,manual_unanswerable,Gaggenau,WM260164,How do I run the Tub Sanitize cycle before first use?,refuse_no_manual_evidence,,,gaggenau_wm260164_p048_c01|gaggenau_wm260164_p064_c02|gaggenau_wm260164_p043_c01,,FALSE,refusal,,I could not find sufficient evidence in the official manual for Gaggenau WM260164.,,,TRUE,,,,,,,FALSE,,,
E039,manual_unanswerable,Gaggenau,WM262700-26,How do I refill the i-DOS intelligent dosing tanks?,refuse_no_manual_evidence,,,gaggenau_wm262700-26_p030_c02|gaggenau_wm262700-26_p056_c02|gaggenau_wm262700-26_p056_c01,,FALSE,refusal,,I could not find sufficient evidence in the official manual for Gaggenau WM262700-26.,,,TRUE,,,,,,,FALSE,,,
E040,manual_unanswerable,Zanussi,ZWG1120M,How do I use Remote Start from the Home Connect app?,refuse_no_manual_evidence,,,zanussi_zwg1120m_p005_c02|zanussi_zwg1120m_p009_c04|zanussi_zwg1120m_p004_c01,,FALSE,refusal,,I could not find sufficient evidence in the official manual for Zanussi ZWG1120M.,,,TRUE,,,,,,,FALSE,,,
E041,unsupported_model,Bosch,WAW99999,What does error code E30 mean on this washer?,refuse_unsupported_model,,,,,FALSE,refusal,,"Unsupported brand/model: Bosch WAW99999. Supported models: SMEG WM24UWH, Gaggenau WM260162CN, Gaggenau WM260164, Gaggenau WM262700-26, Zanussi ZWG1120M.",,,TRUE,,,,,,,FALSE,,,
