case_id,category,brand,model,question,expected_answer,expected_page,source_file,evidence_chunk_id,acceptable_evidence_chunk_ids,answerable,expected_behavior,faithfulness_review,review_status,notes
E014,answerable,Gaggenau,WM260162CN,What should I check if the water is not draining?,"Check whether Rinse Hold is selected, clean the drain pump, and clean the drain pipe and drain hose.",59,Gaggenau_WM260162CN_User_Manual.pdf,gaggenau_wm260162cn_p059_c01,gaggenau_wm260162cn_p059_c01,TRUE,answer_with_citation,FALSE,not_selected,Troubleshooting
E015,answerable,Gaggenau,WM260164,What does error code E:30 / -80 mean?,"The drain pipe or water drain hose is blocked, kinked, or trapped; clean the pipe and hose and make sure neither is kinked or pinched.",62,Gaggenau_WM260164_User_Manual.pdf,gaggenau_wm260164_p062_c01,gaggenau_wm260164_p062_c01,TRUE,answer_with_citation,TRUE,completed,Cross-model error-code pair A
E016,answerable,Gaggenau,WM260164,How do I activate or deactivate the child lock?,"Press both buttons marked 3 sec. for about 3 seconds. To deactivate it during a program, keep the program selector on the original program.",47,Gaggenau_WM260164_User_Manual.pdf,gaggenau_wm260164_p047_c01,gaggenau_wm260164_p047_c01,TRUE,answer_with_citation,TRUE,completed,Child-lock control
E017,answerable,Gaggenau,WM260164,How do I reset the washer's network settings?,"Hold the network control for at least 3 seconds, select Network setting, then select Reset. Reconnect the appliance afterward if you want to use Home Connect again.",53,Gaggenau_WM260164_User_Manual.pdf,gaggenau_wm260164_p053_c01,gaggenau_wm260164_p053_c01,TRUE,answer_with_citation,TRUE,completed,Home Connect reset
E018,answerable,Gaggenau,WM260164,How do I connect the washer to the Home Connect app?,"First connect the washer to the Wi-Fi home network, open and sign in to the Home Connect app, select Connect app and confirm, then complete the remaining steps shown in the app.",51,Gaggenau_WM260164_User_Manual.pdf,gaggenau_wm260164_p051_c01,gaggenau_wm260164_p051_c01,TRUE,answer_with_citation,TRUE,completed,Home Connect setup
E019,answerable,Gaggenau,WM260164,How do I clean the drain pump?,"After emptying it, carefully remove the pump cover, clean the interior, cover threads and housing, make sure the impeller turns, then correctly reassemble and tighten the cover.",59,Gaggenau_WM260164_User_Manual.pdf,gaggenau_wm260164_p059_c01,gaggenau_wm260164_p059_c01,TRUE,answer_with_citation,FALSE,not_selected,Drain-pump maintenance
E020,answerable,Gaggenau,WM260164,How can I unlock the door manually during a power failure?,First empty the drain pump and do not open the door if water is visible through the glass; pull the emergency release downward with a tool and release it.,72,Gaggenau_WM260164_User_Manual.pdf,gaggenau_wm260164_p072_c01,gaggenau_wm260164_p072_c01,TRUE,answer_with_citation,FALSE,not_selected,Emergency release
E021,answerable,Gaggenau,WM260164,What should I do if there is excessive foam?,"Mix one tablespoon of fabric softener with 0.5 litres of water and add it to the manual-dosing compartment, except for outdoor, sportswear and down items; reduce the detergent dose for future washes.",67,Gaggenau_WM260164_User_Manual.pdf,gaggenau_wm260164_p067_c01,gaggenau_wm260164_p067_c01,TRUE,answer_with_citation,FALSE,not_selected,Foam troubleshooting
E022,answerable,Gaggenau,WM262700-26,How do I reset all network settings?,"Enter the Home Connect menu, set the program to position 5, press Start/Pause when reset network settings appears, then press Start/Pause again to confirm.",35,Gaggenau_WM262700-26_User_Manual.pdf,gaggenau_wm262700-26_p035_c01,gaggenau_wm262700-26_p035_c01,TRUE,answer_with_citation,TRUE,completed,Home Connect reset
E023,answerable,Gaggenau,WM262700-26,What actions deactivate Remote Start?,"Remote Start is deactivated if the door opens, power fails, Remote Start is pressed again, the appliance is switched off, the program ends, or a control-panel button or program selector is used.",43,Gaggenau_WM262700-26_User_Manual.pdf,gaggenau_wm262700-26_p043_c01,gaggenau_wm262700-26_p043_c01,TRUE,answer_with_citation,TRUE,completed,Remote Start conditions
E024,answerable,Gaggenau,WM262700-26,How do I deactivate the child lock if the door will not open?,Press the two Finish in controls marked M and N for approximately 3 seconds to deactivate the child lock.,50,Gaggenau_WM262700-26_User_Manual.pdf,gaggenau_wm262700-26_p050_c01,gaggenau_wm262700-26_p050_c01,TRUE,answer_with_citation,TRUE,completed,Child-lock troubleshooting
E025,answerable,Gaggenau,WM262700-26,How do I clean the pump after draining the remaining water?,"Turn the pump cover counterclockwise, remove debris, confirm the impeller turns freely, clean the cover threads and housing, then screw the cover back tightly with the handle vertical.",48,Gaggenau_WM262700-26_User_Manual.pdf,gaggenau_wm262700-26_p048_c01,gaggenau_wm262700-26_p048_c01,TRUE,answer_with_citation,TRUE,completed,Drain-pump maintenance
E026,answerable,Gaggenau,WM262700-26,What should I do about light detergent spots on dry laundry?,Brush the spots off when the laundry is dry or run the RINSE program; some phosphate-free detergents contain water-insoluble ingredients.,52,Gaggenau_WM262700-26_User_Manual.pdf,gaggenau_wm262700-26_p052_c01,gaggenau_wm262700-26_p052_c01,TRUE,answer_with_citation,FALSE,not_selected,Detergent residue
E027,answerable,Gaggenau,WM262700-26,What happens when the washer detects too much foam?,"The foam symbol lights up and the washer automatically adds rinse cycles, extending the program. Use less detergent in later loads.",31,Gaggenau_WM262700-26_User_Manual.pdf,gaggenau_wm262700-26_p031_c01,gaggenau_wm262700-26_p031_c01,TRUE,answer_with_citation,FALSE,not_selected,Foam detection
E028,answerable,Gaggenau,WM262700-26,Which water-supply hoses should I use for installation?,Remove the two AquaShield hoses shipped in the drum and use those new hot- and cold-water hoses for installation.,17,Gaggenau_WM262700-26_User_Manual.pdf,gaggenau_wm262700-26_p017_c01,gaggenau_wm262700-26_p017_c01|gaggenau_wm262700-26_p020_c01,TRUE,answer_with_citation,FALSE,not_selected,Installation hardware
E029,answerable,Zanussi,ZWG1120M,What does error code E30 mean?,E30 means the door is not closed. Check that the door is fully closed and that no laundry is trapped in it.,16,Zanussi_ZWG1120M_User_Manual.pdf,zanussi_zwg1120m_p016_supplement_01,zanussi_zwg1120m_p016_supplement_01,TRUE,answer_with_citation,TRUE,completed,Cross-model error-code pair B
E030,answerable,Zanussi,ZWG1120M,How do I activate and deactivate the additional child lock?,Hold button 5 for 3 seconds to activate it. Press the child-lock button again before choosing the next wash to deactivate it; power cycling does not disable it.,6,Zanussi_ZWG1120M_User_Manual.pdf,zanussi_zwg1120m_p006_c01,zanussi_zwg1120m_p006_c01,TRUE,answer_with_citation,TRUE,completed,Child-lock control
E031,answerable,Zanussi,ZWG1120M,When should I inspect and clean the drain pump filter?,"Inspect it regularly and when the washer does not drain or spin, or makes unusual draining noises. Unplug the washer and let hot water cool before opening the pump.",13,Zanussi_ZWG1120M_User_Manual.pdf,zanussi_zwg1120m_p013_c01,zanussi_zwg1120m_p013_c01,TRUE,answer_with_citation,TRUE,completed,Drain-pump maintenance
E032,answerable,Zanussi,ZWG1120M,How do I clean the water inlet filter?,"Close the tap, detach the hose, brush the hose filter, then clean the valve filter with a stiff brush or cloth; reconnect securely and reopen the tap.",14,Zanussi_ZWG1120M_User_Manual.pdf,zanussi_zwg1120m_p014_c01,zanussi_zwg1120m_p014_c01,TRUE,answer_with_citation,TRUE,completed,Inlet-filter maintenance
E033,answerable,Zanussi,ZWG1120M,What should I do if the washer is exposed to temperatures below 0°C?,"Unplug it, close the tap, remove the inlet hose, drain the inlet and outlet hoses into a container, run a drain program if possible, clean the pump if needed, and restart only above 0°C.",14,Zanussi_ZWG1120M_User_Manual.pdf,zanussi_zwg1120m_p014_c02,zanussi_zwg1120m_p014_c02,TRUE,answer_with_citation,FALSE,not_selected,Frost protection
E034,answerable,Zanussi,ZWG1120M,Which detergent drawer compartment is used for the main wash?,"Use the main-wash compartment for powder or liquid detergent; if using liquid detergent, add it immediately before starting the program.",4,Zanussi_ZWG1120M_User_Manual.pdf,zanussi_zwg1120m_p004_c01,zanussi_zwg1120m_p004_c01,TRUE,answer_with_citation,FALSE,not_selected,Detergent drawer
E035,answerable,Zanussi,ZWG1120M,How should I sort laundry before washing?,"Follow garment care labels and separate whites, colours, synthetics, delicates and wool. Wash new coloured items separately the first time and fasten zips, hooks and ties.",9,Zanussi_ZWG1120M_User_Manual.pdf,zanussi_zwg1120m_p009_c01,zanussi_zwg1120m_p009_c01,TRUE,answer_with_citation,FALSE,not_selected,Laundry preparation
E036,manual_unanswerable,SMEG,WM24UWH,How do I connect this washer to the Home Connect app?,,,SMEG_WM24UWH_User_Manual.pdf,,,FALSE,refuse_no_manual_evidence,FALSE,not_selected,Feature name is absent from this model's manual
E037,manual_unanswerable,Gaggenau,WM260162CN,How do I reset the Home Connect network settings?,,,Gaggenau_WM260162CN_User_Manual.pdf,,,FALSE,refuse_no_manual_evidence,FALSE,not_selected,"Home Connect reset is documented for other selected models, not this manual"
E038,manual_unanswerable,Gaggenau,WM260164,How do I run the Tub Sanitize cycle before first use?,,,Gaggenau_WM260164_User_Manual.pdf,,,FALSE,refuse_no_manual_evidence,FALSE,not_selected,Tub Sanitize wording belongs to another selected model
E039,manual_unanswerable,Gaggenau,WM262700-26,How do I refill the i-DOS intelligent dosing tanks?,,,Gaggenau_WM262700-26_User_Manual.pdf,,,FALSE,refuse_no_manual_evidence,FALSE,not_selected,i-DOS instructions belong to another selected model
E040,manual_unanswerable,Zanussi,ZWG1120M,How do I use Remote Start from the Home Connect app?,,,Zanussi_ZWG1120M_User_Manual.pdf,,,FALSE,refuse_no_manual_evidence,FALSE,not_selected,Connected-app feature is absent from this manual
E041,unsupported_model,Bosch,WAW99999,What does error code E30 mean on this washer?,,,,,,FALSE,refuse_unsupported_model,FALSE,not_selected,Model is not in the five-manual collection
E042,unsupported_model,Samsung,WW90T999,How do I clean the drain pump filter?,,,,,,FALSE,refuse_unsupported_model,FALSE,not_selected,Model is not in the five-manual collection
E043,unsupported_model,LG,F4V9,How do I activate the child lock?,,,,,,FALSE,refuse_unsupported_model,FALSE,not_selected,Model is not in the five-manual collection
E044,unsupported_model,AEG,L6FBI27W,What water pressure is required?,,,,,,FALSE,refuse_unsupported_model,FALSE,not_selected,Previously considered model deliberately excluded from the final manifest
E045,unsupported_model,Whirlpool,WFW9999,How do I run the first empty wash?,,,,,,FALSE,refuse_unsupported_model,FALSE,not_selected,Model is not in the five-manual collection
E046,missing_model,,,What does error code E30 mean?,,,,,,FALSE,refuse_missing_model,FALSE,not_selected,Neither brand nor model supplied; ambiguous across manuals
E047,missing_model,Gaggenau,,How do I reset the network settings?,,,,,,FALSE,refuse_missing_model,FALSE,not_selected,Brand supplied but model omitted
E048,missing_model,,WM24UWH,How do I activate the child lock?,,,,,,FALSE,refuse_missing_model,FALSE,not_selected,Model supplied but brand omitted
E049,missing_model,SMEG,,Why is my laundry still wet?,,,,,,FALSE,refuse_missing_model,FALSE,not_selected,Brand supplied but model omitted
E050,missing_model,,,How do I clean the drain pump?,,,,,,FALSE,refuse_missing_model,FALSE,not_selected,Neither brand nor model supplied
